Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8792,37,37,61.994,5.096,0.650,766,769,22,29,55,60,766.730,25.297,57.189
8793,1100,1100,792.284,21.997,0.275,748,771,18,44,53,61,758.811,28.323,58.173
8794,6465,6465,3886.501,59.456,0.081,1234,1281,14,90,51,61,1264.091,46.398,57.781
8795,3321,3321,2623.994,42.629,0.069,1066,1123,34,80,54,61,1096.305,56.952,58.768
8796,1722,1722,1539.633,31.905,0.092,1277,1301,36,88,55,61,1285.689,60.868,58.985
8797,3707,3707,2435.930,36.651,0.108,816,860,69,119,52,61,837.040,93.858,58.351
8798,1620,1620,1366.586,30.164,0.116,1840,1875,81,118,54,61,1855.048,96.762,58.708
8799,90,90,151.017,11.068,0.266,764,771,104,121,58,61,766.911,112.456,59.144
8800,624,624,508.082,16.908,0.336,492,503,109,131,52,61,495.478,118.242,57.288
8801,397,397,393.216,13.117,0.293,511,527,113,127,56,61,517.451,118.506,58.955
8802,58,58,119.452,8.896,0.223,767,769,134,150,56,61,767.897,141.707,58.397
8803,794,794,761.052,21.521,0.162,2037,2048,158,193,56,61,2043.937,174.764,58.877
8804,1154,1154,968.579,28.060,0.166,759,775,167,216,55,61,766.156,190.107,58.311
8805,462,462,514.351,20.625,0.177,765,775,202,236,54,61,769.379,220.634,58.396
8806,693,693,642.579,17.939,0.205,1553,1577,246,270,55,61,1565.189,258.097,58.876
8807,83,83,101.542,6.260,0.744,27,34,250,257,57,61,29.120,254.024,58.976
8808,848,848,834.615,20.924,0.140,1683,1710,239,267,56,61,1697.815,252.106,59.070
8809,198,198,261.422,15.406,0.248,1535,1543,276,300,56,61,1536.939,283.823,59.131
8810,668,668,567.293,15.687,0.276,1925,1948,321,338,58,61,1935.216,329.762,59.051
8811,4990,4990,2676.415,41.885,0.147,1908,1941,381,431,51,61,1924.115,402.539,57.821
8812,4357,4357,2660.971,40.315,0.114,766,810,380,429,54,61,783.312,400.503,58.352
8813,954,954,795.425,21.979,0.205,754,769,381,412,54,61,761.855,397.572,58.280
8814,1556,1556,1065.985,25.693,0.226,814,850,391,413,52,61,834.810,401.844,58.024
8815,21,21,39.759,3.841,0.794,1279,1282,410,415,57,61,1279.714,411.571,59.000
8816,114,114,132.360,7.249,0.634,1279,1287,411,419,56,61,1281.395,414.579,58.254
8817,644,644,499.281,16.454,0.377,1558,1582,420,438,55,61,1568.099,427.613,58.171
8818,111,111,125.605,6.825,0.703,1535,1541,435,444,55,61,1536.865,439.243,57.757
8819,3416,3416,2145.170,33.650,0.134,1941,1987,431,467,53,61,1957.501,446.295,58.292
8820,464,464,409.880,14.159,0.354,1580,1592,474,498,57,61,1585.338,486.588,58.894
8821,1994,1994,1081.373,21.925,0.356,1610,1640,475,496,53,61,1623.796,485.372,57.214
8822,1322,1322,1104.310,24.440,0.147,191,222,484,514,57,61,204.167,498.172,59.011
8823,230,230,256.870,12.027,0.353,1021,1030,485,503,55,61,1025.017,494.039,58.548
8824,592,592,443.618,14.116,0.454,1606,1626,506,516,53,61,1615.541,509.363,57.147
8825,238,238,265.191,12.225,0.344,1004,1023,504,512,57,61,1016.218,508.609,58.769
8826,944,944,764.598,20.852,0.225,1021,1042,487,513,55,61,1030.904,502.210,58.586
